run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,chatgpt,B,,B,True,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) A glock pistol
B) Methodone
C) Someone that is boring
D) Used to address friends with exasperation, releif, or disbeleif.

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T16:01:54.478027+00:00
2,1,row_001,6-6-6,Identity,chatgpt,B,,B,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) Charisma
B) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs
C) A large ass that stands out.
D) A distinct trait, style, or outfit, often used in drag culture

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T16:01:57.669355+00:00
3,1,row_002,AF,General,chatgpt,B,,B,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) An emotional meltdown
B) As Fuck
C) Someone who acts tries to act entertaining and amuzingly relentlessly
D) Somehting uncool or unfashionable

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T16:02:01.402052+00:00
4,1,row_003,aggy,Violence,chatgpt,D,,D,True,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) Something that is better then everything else
B) to recoil in distaste
C) Methodone
D) to aggrivate

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T16:02:05.246929+00:00
5,1,row_004,Alpha,Identity,chatgpt,A,B,A,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) A strong, leader who commands those around them
B) the 1st letter of the Greek alphabet
C) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs
D) Short for Bitch

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T16:02:07.284151+00:00
6,1,row_005,ant,Sexual,chatgpt,D,A,D,True,False,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties
B) Someone who refused to wear a mask in covid times.
C) A reference for ass
D) A charismatic, sexy, and quick witted man

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T16:02:15.537459+00:00
7,1,row_006,archer,Identity,chatgpt,A,C,C,False,True,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) A person who is very good at spotting a lie
B) A charismatic, sexy, and quick witted man
C) a person who uses a bow and arrow
D) Somehting that is poor quality

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T16:02:20.565217+00:00
8,1,row_007,ASL,Sexual,chatgpt,A,,A,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) Age Sex Location
B) A large ass that stands out.
C) A near superhuman perfect male
D) fake soft penises and testicles designed to give a 'male' bulge to the crotches of female-to-male transsexuals.

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T16:02:22.804366+00:00
9,1,row_008,Aura Farming,Identity,chatgpt,C,,C,True,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) Cancer
B) Down to fuck
C) Activities that involve cultivating ones Aura
D) Something that appears mundane but has hidden potential

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T16:02:25.568781+00:00
10,1,row_009,babygirl,Sexual,chatgpt,A,,A,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) An endeering term used towards ones significant other
B) You're on Your own
C) Cancer
D) The anus

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T16:02:27.427022+00:00
11,1,row_010,backoff,Sexual,chatgpt,B,C,B,True,False,"In the following sentence, what does ""backoff"" mean?
That girl has a fat backoff!

Select only one answer.
A) Ironically used to describe one as unique
B) A large ass that stands out.
C) back down
D) Someone who is trying to get sexual attention overtly

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T16:02:29.794573+00:00
12,1,row_011,Bae,Sexual,chatgpt,D,,D,True,False,"In the following sentence, what does ""Bae"" mean?
She's my bae.

Select only one answer.
A) To metaphorically die of laughter
B) Cancer
C) Talking too much
D) A significant other

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T16:02:31.435275+00:00
13,1,row_012,bareface,Identity,chatgpt,A,B,A,True,False,"In the following sentence, what does ""bareface"" mean?
I saw a group of barefaces at the store this morning, so I won't be going back.

Select only one answer.
A) Someone who refused to wear a mask in covid times.
B) having a clear finish and no nap
C) used to mock spoiled kids
D) A term for someone that enjoys watching their wife have sex with another man

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T16:02:33.958244+00:00
