model,term_type,n_committed_with_literal_option,Literal_selections,Literal_rate%
chatgpt,General,175,11,6.3
chatgpt,Identity,70,10,14.3
chatgpt,Insult,50,14,28.0
chatgpt,Sexual,40,5,12.5
chatgpt,Drugs,5,0,0.0
chatgpt,Violence,20,0,0.0
chatgpt,TOTAL,360,40,11.1
claude,General,175,11,6.3
claude,Identity,68,5,7.4
claude,Insult,50,25,50.0
claude,Sexual,40,5,12.5
claude,Drugs,5,0,0.0
claude,Violence,18,0,0.0
claude,TOTAL,356,46,12.9
gemini,General,175,6,3.4
gemini,Identity,70,10,14.3
gemini,Insult,50,15,30.0
gemini,Sexual,40,1,2.5
gemini,Drugs,5,0,0.0
gemini,Violence,20,1,5.0
gemini,TOTAL,360,33,9.2
grok,General,175,14,8.0
grok,Identity,70,10,14.3
grok,Insult,50,9,18.0
grok,Sexual,40,10,25.0
grok,Drugs,5,0,0.0
grok,Violence,20,5,25.0
grok,TOTAL,360,48,13.3
local_gptoss,General,175,25,14.3
local_gptoss,Identity,70,10,14.3
local_gptoss,Insult,50,23,46.0
local_gptoss,Sexual,40,12,30.0
local_gptoss,Drugs,5,2,40.0
local_gptoss,Violence,20,14,70.0
local_gptoss,TOTAL,360,86,23.9
local_llama31,General,172,46,26.7
local_llama31,Identity,69,20,29.0
local_llama31,Insult,44,28,63.6
local_llama31,Sexual,40,23,57.5
local_llama31,Drugs,5,0,0.0
local_llama31,Violence,20,13,65.0
local_llama31,TOTAL,350,130,37.1
local_llama4,General,175,5,2.9
local_llama4,Identity,70,5,7.1
local_llama4,Insult,50,20,40.0
local_llama4,Sexual,40,10,25.0
local_llama4,Drugs,5,0,0.0
local_llama4,Violence,18,5,27.8
local_llama4,TOTAL,358,45,12.6
local_phi4,General,175,21,12.0
local_phi4,Identity,70,5,7.1
local_phi4,Insult,49,23,46.9
local_phi4,Sexual,40,10,25.0
local_phi4,Drugs,5,0,0.0
local_phi4,Violence,20,8,40.0
local_phi4,TOTAL,359,67,18.7
local_qwen27b,General,175,4,2.3
local_qwen27b,Identity,70,7,10.0
local_qwen27b,Insult,50,22,44.0
local_qwen27b,Sexual,40,5,12.5
local_qwen27b,Drugs,5,0,0.0
local_qwen27b,Violence,20,0,0.0
local_qwen27b,TOTAL,360,38,10.6
local_qwen7b,General,175,37,21.1
local_qwen7b,Identity,70,25,35.7
local_qwen7b,Insult,50,17,34.0
local_qwen7b,Sexual,40,16,40.0
local_qwen7b,Drugs,5,0,0.0
local_qwen7b,Violence,20,10,50.0
local_qwen7b,TOTAL,360,105,29.2
