run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,local_llama31,C,,A,False,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) Weak or effeminate
B) Age Sex Location
C) Methodone
D) A stereotypical alpha male that is strong, handsome, and attracts women.

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-11T22:29:43.702935+00:00
2,1,row_001,6-6-6,Identity,local_llama31,D,,D,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) A reference for ass
B) A chlid molestor
C) Crack cocaine
D) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs

Respond with only the letter of your answer (A, B, C, or D).",D),2026-06-11T22:29:43.911424+00:00
3,1,row_002,AF,General,local_llama31,C,,C,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) Very good
B) Activities that involve cultivating ones Aura
C) As Fuck
D) An endeering term used towards ones significant other

Respond with only the letter of your answer (A, B, C, or D).",C),2026-06-11T22:29:44.075701+00:00
4,1,row_003,aggy,Violence,local_llama31,C,,B,False,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) Cool
B) Something that is messed up or not right.
C) to aggrivate
D) To check the mood of a situation

Respond with only the letter of your answer (A, B, C, or D).",B),2026-06-11T22:29:44.239635+00:00
5,1,row_004,Alpha,Identity,local_llama31,D,B,D,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) To shoot ones shot.
B) the 1st letter of the Greek alphabet
C) A hot dog
D) A strong, leader who commands those around them

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-11T22:29:44.408052+00:00
6,1,row_005,ant,Sexual,local_llama31,C,D,D,False,True,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) To manipulated, trick, or fool someone
B) A hot dog
C) A charismatic, sexy, and quick witted man
D) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-11T22:29:44.573497+00:00
7,1,row_006,archer,Identity,local_llama31,C,B,B,False,True,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) A reference for ass
B) a person who uses a bow and arrow
C) A person who is very good at spotting a lie
D) Used to address friends with exasperation, releif, or disbeleif.

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-11T22:29:44.745862+00:00
8,1,row_007,ASL,Sexual,local_llama31,D,,D,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) A near superhuman perfect male
B) Someone who acts tries to act entertaining and amuzingly relentlessly
C) An insult commonly used in sports
D) Age Sex Location

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-11T22:29:44.910432+00:00
9,1,row_008,Aura Farming,Identity,local_llama31,D,,D,True,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) a live-action role-playing game in which a group of people enacts a fictional scenario (such as a fantasy adventure) in real time typically under the guidance of a facilitator or organizer; also : the activity of participating in such games : larping
B) something intense, aggressive, and unfiltered
C) To refer to ones imaginary audience like an internet steamer
D) Activities that involve cultivating ones Aura

Respond with only the letter of your answer (A, B, C, or D).",D),2026-06-11T22:29:45.121928+00:00
10,1,row_009,babygirl,Sexual,local_llama31,B,,B,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) An incel term meaning kissless, hugless, handholdless virgin
B) An endeering term used towards ones significant other
C) A descriptor for an attractive person
D) A fashionable look

Respond with only the letter of your answer (A, B, C, or D).",B),2026-06-11T22:29:45.296493+00:00
11,1,row_010,backoff,Sexual,local_llama31,B,D,B,True,False,"In the following sentence, what does ""backoff"" mean?
That girl has a fat backoff!

Select only one answer.
A) Someone who refused to wear a mask in covid times.
B) A large ass that stands out.
C) Gossip
D) back down

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-11T22:29:45.454041+00:00
12,1,row_011,Bae,Sexual,local_llama31,A,,A,True,False,"In the following sentence, what does ""Bae"" mean?
She's my bae.

Select only one answer.
A) A significant other
B) A criminal that turned their life arpound and are legitimate
C) To show off
D) Very good

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-11T22:29:45.635869+00:00
13,1,row_012,bareface,Identity,local_llama31,C,B,C,True,False,"In the following sentence, what does ""bareface"" mean?
I saw a group of barefaces at the store this morning, so I won't be going back.

Select only one answer.
A) A loss or failure
B) having a clear finish and no nap
C) Someone who refused to wear a mask in covid times.
D) to recoil in distaste

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-11T22:29:45.814765+00:00
14,1,row_013,based,General,local_llama31,D,A,A,False,True,"In the following sentence, what does ""based"" mean?
That show was based.

Select only one answer.
A) having a specified type of base or basis —often used in combination
B) A dance move
C) Acting crazily
D) An unpopular opinion

Respond with only the letter of your answer (A, B, C, or D).",A),2026-06-11T22:29:46.003920+00:00
15,1,row_014,Basic,Identity,local_llama31,C,D,C,True,False,"In the following sentence, what does ""Basic"" mean?
Shes so basic.

Select only one answer.
A) when a reply gets more than the original post
B) To be high or drunk
C) Someone that is boring
D) of, relating to, or forming the base or essence : fundamental

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-11T22:29:46.169958+00:00
