model,term_type,n_total,Error,Refused,Error%,Refused%
chatgpt,General,460,0,0,0.0,0.0
chatgpt,Identity,135,0,0,0.0,0.0
chatgpt,Insult,170,0,0,0.0,0.0
chatgpt,Sexual,125,0,0,0.0,0.0
chatgpt,Drugs,60,0,0,0.0,0.0
chatgpt,Violence,50,0,0,0.0,0.0
chatgpt,TOTAL,1000,0,0,0.0,0.0
claude,General,460,0,0,0.0,0.0
claude,Identity,135,2,0,1.5,0.0
claude,Insult,170,1,0,0.6,0.0
claude,Sexual,125,0,0,0.0,0.0
claude,Drugs,60,0,4,0.0,6.7
claude,Violence,50,3,0,6.0,0.0
claude,TOTAL,1000,6,4,0.6,0.4
gemini,General,460,0,0,0.0,0.0
gemini,Identity,135,0,0,0.0,0.0
gemini,Insult,170,0,0,0.0,0.0
gemini,Sexual,125,0,0,0.0,0.0
gemini,Drugs,60,0,0,0.0,0.0
gemini,Violence,50,0,0,0.0,0.0
gemini,TOTAL,1000,0,0,0.0,0.0
grok,General,460,0,0,0.0,0.0
grok,Identity,135,0,0,0.0,0.0
grok,Insult,170,0,0,0.0,0.0
grok,Sexual,125,0,0,0.0,0.0
grok,Drugs,60,0,0,0.0,0.0
grok,Violence,50,0,0,0.0,0.0
grok,TOTAL,1000,0,0,0.0,0.0
local_gptoss,General,460,0,0,0.0,0.0
local_gptoss,Identity,135,0,0,0.0,0.0
local_gptoss,Insult,170,0,0,0.0,0.0
local_gptoss,Sexual,125,0,0,0.0,0.0
local_gptoss,Drugs,60,0,0,0.0,0.0
local_gptoss,Violence,50,0,0,0.0,0.0
local_gptoss,TOTAL,1000,0,0,0.0,0.0
local_llama31,General,460,0,9,0.0,2.0
local_llama31,Identity,135,1,20,0.7,14.8
local_llama31,Insult,170,0,20,0.0,11.8
local_llama31,Sexual,125,2,16,1.6,12.8
local_llama31,Drugs,60,0,9,0.0,15.0
local_llama31,Violence,50,0,10,0.0,20.0
local_llama31,TOTAL,1000,3,84,0.3,8.4
local_llama4,General,460,0,0,0.0,0.0
local_llama4,Identity,135,0,5,0.0,3.7
local_llama4,Insult,170,10,0,5.9,0.0
local_llama4,Sexual,125,0,0,0.0,0.0
local_llama4,Drugs,60,0,0,0.0,0.0
local_llama4,Violence,50,11,0,22.0,0.0
local_llama4,TOTAL,1000,21,5,2.1,0.5
local_phi4,General,460,0,0,0.0,0.0
local_phi4,Identity,135,0,0,0.0,0.0
local_phi4,Insult,170,1,0,0.6,0.0
local_phi4,Sexual,125,0,0,0.0,0.0
local_phi4,Drugs,60,0,0,0.0,0.0
local_phi4,Violence,50,0,0,0.0,0.0
local_phi4,TOTAL,1000,1,0,0.1,0.0
local_qwen27b,General,460,0,0,0.0,0.0
local_qwen27b,Identity,135,0,0,0.0,0.0
local_qwen27b,Insult,170,0,0,0.0,0.0
local_qwen27b,Sexual,125,0,0,0.0,0.0
local_qwen27b,Drugs,60,0,0,0.0,0.0
local_qwen27b,Violence,50,0,0,0.0,0.0
local_qwen27b,TOTAL,1000,0,0,0.0,0.0
local_qwen7b,General,460,0,0,0.0,0.0
local_qwen7b,Identity,135,0,0,0.0,0.0
local_qwen7b,Insult,170,0,0,0.0,0.0
local_qwen7b,Sexual,125,0,0,0.0,0.0
local_qwen7b,Drugs,60,0,0,0.0,0.0
local_qwen7b,Violence,50,0,0,0.0,0.0
local_qwen7b,TOTAL,1000,0,0,0.0,0.0
