run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,local_qwen7b,D,,C,False,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) A mauser C96 pistol
B) A type of marijuana
C) An insult commonly used in sports
D) Methodone

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:28.065135+00:00
2,1,row_001,6-6-6,Identity,local_qwen7b,A,,A,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs
B) Cool
C) When you are outnumbered in a fight and call black people for the win
D) A term for someone that enjoys watching their wife have sex with another man

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T15:55:28.219391+00:00
3,1,row_002,AF,General,local_qwen7b,B,,B,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) Something that is better then everything else
B) As Fuck
C) A significant problem
D) Gross buildup between the toes

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:28.358762+00:00
4,1,row_003,aggy,Violence,local_qwen7b,B,,D,False,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) The videos one find on social media that cause people to scroll and do nothign for hours
B) to aggrivate
C) drunk
D) Something that is messed up or not right.

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T15:55:28.499395+00:00
5,1,row_004,Alpha,Identity,local_qwen7b,B,A,B,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) the 1st letter of the Greek alphabet
B) A strong, leader who commands those around them
C) A canabis based cigarette that needs two paper rolls
D) a bad charisma

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:28.640999+00:00
6,1,row_005,ant,Sexual,local_qwen7b,C,B,B,False,True,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) A glock pistol
B) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties
C) A charismatic, sexy, and quick witted man
D) Crack cocaine

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:28.785102+00:00
7,1,row_006,archer,Identity,local_qwen7b,B,D,D,False,True,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) Activities that involve cultivating ones Aura
B) A person who is very good at spotting a lie
C) To win
D) a person who uses a bow and arrow

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T15:55:28.961336+00:00
8,1,row_007,ASL,Sexual,local_qwen7b,B,,B,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) Somehting uncool or unfashionable
B) Age Sex Location
C) Ironically used to describe one as unique
D) A type of marijuana

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:29.100383+00:00
9,1,row_008,Aura Farming,Identity,local_qwen7b,C,,C,True,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) An insult commonly used in sports
B) Short for Bitch
C) Activities that involve cultivating ones Aura
D) A term for baby that people will call their significant other.

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:29.242720+00:00
10,1,row_009,babygirl,Sexual,local_qwen7b,D,,D,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) Someone that is boring
B) the playful act of taking a friend's food
C) Someone who is trying to get sexual attention overtly
D) An endeering term used towards ones significant other

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T15:55:29.385919+00:00
11,1,row_010,backoff,Sexual,local_qwen7b,C,D,C,True,False,"In the following sentence, what does ""backoff"" mean?
That girl has a fat backoff!

Select only one answer.
A) an expression of surprise
B) Short for happening
C) A large ass that stands out.
D) back down

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:29.524745+00:00
12,1,row_011,Bae,Sexual,local_qwen7b,C,,C,True,False,"In the following sentence, what does ""Bae"" mean?
She's my bae.

Select only one answer.
A) Stylish or flashy outfit style
B) A glock pistol
C) A significant other
D) a bad charisma

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:29.663306+00:00
13,1,row_012,bareface,Identity,local_qwen7b,D,A,D,True,False,"In the following sentence, what does ""bareface"" mean?
I saw a group of barefaces at the store this morning, so I won't be going back.

Select only one answer.
A) having a clear finish and no nap
B) A reference for ass
C) A canabis based cigarette that needs two paper rolls
D) Someone who refused to wear a mask in covid times.

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T15:55:29.805452+00:00
14,1,row_013,based,General,local_qwen7b,D,B,B,False,True,"In the following sentence, what does ""based"" mean?
That show was based.

Select only one answer.
A) Someone younger
B) having a specified type of base or basis —often used in combination
C) Used to mock someone who doesnt think for themselves, says things repeatedly, or has no opinions
D) An unpopular opinion

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:29.946353+00:00
15,1,row_014,Basic,Identity,local_qwen7b,A,B,A,True,False,"In the following sentence, what does ""Basic"" mean?
Shes so basic.

Select only one answer.
A) Someone that is boring
B) of, relating to, or forming the base or essence : fundamental
C) A loss or failure
D) Methodone

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T15:55:30.085732+00:00
16,1,row_015,bb,Sexual,local_qwen7b,C,B,C,True,False,"In the following sentence, what does ""bb"" mean?
Hey bb, lets grab some food.

Select only one answer.
A) To mastrubate for extremeely long period regularly
B) a shot pellet 0.18 inch in diameter for use in a shotgun cartridge
C) A term for baby that people will call their significant other.
D) An all denim outfit

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:30.227327+00:00
17,1,row_016,Bet,General,local_qwen7b,C,D,B,False,False,"In the following sentence, what does ""Bet"" mean?
bet, lets go.

Select only one answer.
A) Down to fuck
B) To express excitement or approval for something
C) An affirmative agreement
D) something that is laid, staked, or pledged typically between two parties on the outcome of a contest or a contingent issue : wager —often used figuratively in such phrases as all bets are off to stress the uncertainty of an outcome

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:30.371081+00:00
18,1,row_017,Beta,Identity,local_qwen7b,B,D,C,False,False,"In the following sentence, what does ""Beta"" mean?
The beta's of the world aren't gonna like that.

Select only one answer.
A) a live-action role-playing game in which a group of people enacts a fictional scenario (such as a fantasy adventure) in real time typically under the guidance of a facilitator or organizer; also : the activity of participating in such games : larping
B) Someone weak or a follower
C) Used to address friends with exasperation, releif, or disbeleif.
D) the 2nd letter of the Greek alphabet

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:30.541558+00:00
19,1,row_018,Bih,General,local_qwen7b,C,,C,True,False,"In the following sentence, what does ""Bih"" mean?
Bih, what?

Select only one answer.
A) The abandonment of responsibilities
B) Someone that travels abroad with the sole purpose of having sex
C) Short for Bitch
D) An insulting term to refer to someone as stupid

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:30.682042+00:00
20,1,row_019,bine,Violence,local_qwen7b,B,C,C,False,True,"In the following sentence, what does ""bine"" mean?
Load the nine with ine and selek it.

Select only one answer.
A) Done or ruined
B) bullets
C) a twining stem or flexible shoot (as of the hop); also : a plant (such as woodbine) whose shoots are bines
D) The abandonment of responsibilities

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:30.822690+00:00
21,1,row_020,blackup,Violence,local_qwen7b,B,,B,True,False,"In the following sentence, what does ""blackup"" mean?
We are outnumbered. Call for black up.

Select only one answer.
A) A significant other
B) When you are outnumbered in a fight and call black people for the win
C) Someone that is boring
D) Fuckboy, someone just looking for sex

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:30.964522+00:00
22,1,row_021,Brain Rot,General,local_qwen7b,B,,B,True,False,"In the following sentence, what does ""Brain Rot"" mean?
Kids these days just sit around and watch brain rot.

Select only one answer.
A) A term for someone that enjoys watching their wife have sex with another man
B) The videos one find on social media that cause people to scroll and do nothign for hours
C) Weak or effeminate
D) As Fuck

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:31.105976+00:00
23,1,row_022,brizzy,Drugs,local_qwen7b,D,,A,False,False,"In the following sentence, what does ""brizzy"" mean?
Quickly, grab the brizzy.

Select only one answer.
A) the playful act of taking a friend's food
B) Someone who prepares for doomsday scenarios
C) A term of endearment for a significant other
D) A kilo of cocaine

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T15:55:31.245638+00:00
24,1,row_023,broomhandle,Violence,local_qwen7b,B,,A,False,False,"In the following sentence, what does ""broomhandle"" mean?
Get your broomhandle, we gotta go.

Select only one answer.
A) Nonsensical term
B) A mauser C96 pistol
C) A fool or a prick
D) To win

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T15:55:31.384485+00:00
25,1,row_024,bruh!,General,local_qwen7b,D,A,C,False,False,"In the following sentence, what does ""bruh!"" mean?
Bruh! What was that?

Select only one answer.
A) brother
B) An incel term for an attractive middle eastern man
C) An expression of disbelief
D) Used to address friends with exasperation, releif, or disbeleif.

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:31.525192+00:00
26,1,row_025,Bruzz,General,local_qwen7b,C,,C,True,False,"In the following sentence, what does ""Bruzz"" mean?
Whats up bruzz?

Select only one answer.
A) Short for happening
B) when a reply gets more than the original post
C) A term for friends
D) A kilo of cocaine

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:31.663771+00:00
27,1,row_026,Bussin',General,local_qwen7b,B,,B,True,False,"In the following sentence, what does ""Bussin'"" mean?
This pizza is bussin, on god!

Select only one answer.
A) Used to address friends with exasperation, releif, or disbeleif.
B) Very good
C) The vagina
D) Used to refer to the social media platforms one uses

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T15:55:31.804697+00:00
28,1,row_027,Cake,Sexual,local_qwen7b,C,A,C,True,False,"In the following sentence, what does ""Cake"" mean?
Shes looking real caked up!

Select only one answer.
A) a breadlike food made from a dough or batter that is usually fried or baked in small flat shapes and is often unleavened
B) A canister of nitrous oxide
C) A reference for ass
D) bullets

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T15:55:31.946340+00:00
29,1,row_028,Cap,General,local_qwen7b,D,A,D,True,False,"In the following sentence, what does ""Cap"" mean?
You're cappin. No way.

Select only one answer.
A) a head covering especially with a visor and no brim
B) An attractive older man
C) Epileptic fit from a synthetic canabis
D) Something untrue or unbeleivable

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T15:55:32.088428+00:00
