model,term_type,n_committed,Correct,Incorrect_incl_literal,Correct%,Incorrect%
chatgpt,General,460,439,21,95.4,4.6
chatgpt,Identity,135,117,18,86.7,13.3
chatgpt,Insult,170,155,15,91.2,8.8
chatgpt,Sexual,125,120,5,96.0,4.0
chatgpt,Drugs,60,60,0,100.0,0.0
chatgpt,Violence,50,50,0,100.0,0.0
chatgpt,TOTAL,1000,941,59,94.1,5.9
claude,General,460,445,15,96.7,3.3
claude,Identity,133,112,21,84.2,15.8
claude,Insult,169,138,31,81.7,18.3
claude,Sexual,125,115,10,92.0,8.0
claude,Drugs,56,56,0,100.0,0.0
claude,Violence,47,47,0,100.0,0.0
claude,TOTAL,990,913,77,92.2,7.8
gemini,General,460,446,14,97.0,3.0
gemini,Identity,135,121,14,89.6,10.4
gemini,Insult,170,150,20,88.2,11.8
gemini,Sexual,125,124,1,99.2,0.8
gemini,Drugs,60,59,1,98.3,1.7
gemini,Violence,50,48,2,96.0,4.0
gemini,TOTAL,1000,948,52,94.8,5.2
grok,General,460,446,14,97.0,3.0
grok,Identity,135,112,23,83.0,17.0
grok,Insult,170,157,13,92.4,7.6
grok,Sexual,125,110,15,88.0,12.0
grok,Drugs,60,60,0,100.0,0.0
grok,Violence,50,45,5,90.0,10.0
grok,TOTAL,1000,930,70,93.0,7.0
local_gptoss,General,460,401,59,87.2,12.8
local_gptoss,Identity,135,115,20,85.2,14.8
local_gptoss,Insult,170,127,43,74.7,25.3
local_gptoss,Sexual,125,107,18,85.6,14.4
local_gptoss,Drugs,60,50,10,83.3,16.7
local_gptoss,Violence,50,29,21,58.0,42.0
local_gptoss,TOTAL,1000,829,171,82.9,17.1
local_llama31,General,451,376,75,83.4,16.6
local_llama31,Identity,114,84,30,73.7,26.3
local_llama31,Insult,150,97,53,64.7,35.3
local_llama31,Sexual,107,81,26,75.7,24.3
local_llama31,Drugs,51,36,15,70.6,29.4
local_llama31,Violence,40,14,26,35.0,65.0
local_llama31,TOTAL,913,688,225,75.4,24.6
local_llama4,General,460,430,30,93.5,6.5
local_llama4,Identity,130,105,25,80.8,19.2
local_llama4,Insult,160,125,35,78.1,21.9
local_llama4,Sexual,125,115,10,92.0,8.0
local_llama4,Drugs,60,50,10,83.3,16.7
local_llama4,Violence,39,19,20,48.7,51.3
local_llama4,TOTAL,974,844,130,86.7,13.3
local_phi4,General,460,388,72,84.3,15.7
local_phi4,Identity,135,94,41,69.6,30.4
local_phi4,Insult,169,127,42,75.1,24.9
local_phi4,Sexual,125,101,24,80.8,19.2
local_phi4,Drugs,60,53,7,88.3,11.7
local_phi4,Violence,50,33,17,66.0,34.0
local_phi4,TOTAL,999,796,203,79.7,20.3
local_qwen27b,General,460,437,23,95.0,5.0
local_qwen27b,Identity,135,114,21,84.4,15.6
local_qwen27b,Insult,170,137,33,80.6,19.4
local_qwen27b,Sexual,125,119,6,95.2,4.8
local_qwen27b,Drugs,60,58,2,96.7,3.3
local_qwen27b,Violence,50,43,7,86.0,14.0
local_qwen27b,TOTAL,1000,908,92,90.8,9.2
local_qwen7b,General,460,344,116,74.8,25.2
local_qwen7b,Identity,135,82,53,60.7,39.3
local_qwen7b,Insult,170,127,43,74.7,25.3
local_qwen7b,Sexual,125,90,35,72.0,28.0
local_qwen7b,Drugs,60,50,10,83.3,16.7
local_qwen7b,Violence,50,20,30,40.0,60.0
local_qwen7b,TOTAL,1000,713,287,71.3,28.7
