run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,claude,B,,B,True,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) Used to refer to the social media platforms one uses
B) Methodone
C) Someone who deliberatly acts in ways to annoy or anger a group of people online.
D) To prepare for a fight

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:02:10.828533+00:00
2,1,row_001,6-6-6,Identity,claude,D,,D,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) Prolonged masturbation
B) Saying something secretive or to keep low profile
C) Friends with benefits
D) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:02:12.141269+00:00
3,1,row_002,AF,General,claude,B,,B,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) Someone younger
B) As Fuck
C) To metaphorically die of laughter
D) An endeering term used towards ones significant other

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:02:14.014043+00:00
4,1,row_003,aggy,Violence,claude,A,,A,True,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) to aggrivate
B) An affirmative agreement
C) An expression of disappointment
D) used to mock spoiled kids

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:15.413126+00:00
5,1,row_004,Alpha,Identity,claude,A,D,A,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) A strong, leader who commands those around them
B) Someone that is boring
C) the playful act of taking a friend's food
D) the 1st letter of the Greek alphabet

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:17.409418+00:00
6,1,row_005,ant,Sexual,claude,D,A,D,True,False,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties
B) Sociopath
C) Saying something secretive or to keep low profile
D) A charismatic, sexy, and quick witted man

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:02:18.961822+00:00
7,1,row_006,archer,Identity,claude,A,B,INVALID,False,False,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) A person who is very good at spotting a lie
B) a person who uses a bow and arrow
C) A term to support someone going through a gender change.
D) A term used by incels to refer to women in a way that dehumanizes them.

Respond with only the letter of your answer (A, B, C, or D).","I need to analyze the sentence ""Jim was an archer with her lies.""

The literal meaning (B - bow and arrow) doesn't fit the context of ""with her lies.""

Looking at the context, ""archer with her lies"" suggests someone skilled at detecting or dealing with lies. An archer aims precisely at targets, which metaphorically could relate to spotting lies accurately.

The answer is A.",2026-06-12T20:02:25.481938+00:00
8,1,row_007,ASL,Sexual,claude,B,,B,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) A mauser C96 pistol
B) Age Sex Location
C) Something ugly or unattractive
D) To mastrubate for extremeely long period regularly

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:02:26.855565+00:00
9,1,row_008,Aura Farming,Identity,claude,C,,C,True,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) to aggrivate
B) used to mock spoiled kids
C) Activities that involve cultivating ones Aura
D) When something hidden gets called out

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:02:28.150737+00:00
10,1,row_009,babygirl,Sexual,claude,D,,D,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) A term to support someone going through a gender change.
B) Go in 100% on something
C) An older person who is out of touch
D) An endeering term used towards ones significant other

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:02:30.675185+00:00
11,1,row_010,backoff,Sexual,claude,D,A,D,True,False,"In the following sentence, what does ""backoff"" mean?
That girl has a fat backoff!

Select only one answer.
A) back down
B) Prolonged masturbation
C) To manipulated, trick, or fool someone
D) A large ass that stands out.

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:02:32.383902+00:00
12,1,row_011,Bae,Sexual,claude,A,,A,True,False,"In the following sentence, what does ""Bae"" mean?
She's my bae.

Select only one answer.
A) A significant other
B) An unpopular opinion
C) when a reply gets more than the original post
D) To refer to ones imaginary audience like an internet steamer

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:33.762553+00:00
13,1,row_012,bareface,Identity,claude,A,D,A,True,False,"In the following sentence, what does ""bareface"" mean?
I saw a group of barefaces at the store this morning, so I won't be going back.

Select only one answer.
A) Someone who refused to wear a mask in covid times.
B) Something that appears mundane but has hidden potential
C) An unpopular opinion
D) having a clear finish and no nap

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:35.204688+00:00
14,1,row_013,based,General,claude,C,D,D,False,True,"In the following sentence, what does ""based"" mean?
That show was based.

Select only one answer.
A) An unattractive girl
B) Someone unappealing
C) An unpopular opinion
D) having a specified type of base or basis —often used in combination

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:02:36.509596+00:00
15,1,row_014,Basic,Identity,claude,B,C,B,True,False,"In the following sentence, what does ""Basic"" mean?
Shes so basic.

Select only one answer.
A) An expression of disappointment
B) Someone that is boring
C) of, relating to, or forming the base or essence : fundamental
D) A significant other

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:02:37.798771+00:00
16,1,row_015,bb,Sexual,claude,C,B,C,True,False,"In the following sentence, what does ""bb"" mean?
Hey bb, lets grab some food.

Select only one answer.
A) Something done regularly
B) a shot pellet 0.18 inch in diameter for use in a shotgun cartridge
C) A term for baby that people will call their significant other.
D) Delusional

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:02:39.748267+00:00
17,1,row_016,Bet,General,claude,D,C,D,True,False,"In the following sentence, what does ""Bet"" mean?
bet, lets go.

Select only one answer.
A) Delusional
B) something intense, aggressive, and unfiltered
C) something that is laid, staked, or pledged typically between two parties on the outcome of a contest or a contingent issue : wager —often used figuratively in such phrases as all bets are off to stress the uncertainty of an outcome
D) An affirmative agreement

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:02:41.281836+00:00
18,1,row_017,Beta,Identity,claude,C,A,C,True,False,"In the following sentence, what does ""Beta"" mean?
The beta's of the world aren't gonna like that.

Select only one answer.
A) the 2nd letter of the Greek alphabet
B) Fuckboy, someone just looking for sex
C) Someone weak or a follower
D) To get arrested

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:02:42.616412+00:00
19,1,row_018,Bih,General,claude,B,,B,True,False,"In the following sentence, what does ""Bih"" mean?
Bih, what?

Select only one answer.
A) An independent, strong person
B) Short for Bitch
C) Throwing something
D) A chlid molestor

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:02:44.375203+00:00
20,1,row_019,bine,Violence,claude,C,A,INVALID,False,False,"In the following sentence, what does ""bine"" mean?
Load the nine with ine and selek it.

Select only one answer.
A) a twining stem or flexible shoot (as of the hop); also : a plant (such as woodbine) whose shoots are bines
B) A chlid molestor
C) bullets
D) An incel term meaning kissless, hugless, handholdless virgin

Respond with only the letter of your answer (A, B, C, or D).","I notice the sentence you've provided (""Load the nine with ine and selek it"") doesn't actually contain the word ""bine""—and the sentence itself appears garbled or possibly coded.

That said, looking at the legitimate dictionary options, the only real, established definition of ""bine"" is:

**A**",2026-06-12T20:02:48.203511+00:00
21,1,row_020,blackup,Violence,claude,A,,A,True,False,"In the following sentence, what does ""blackup"" mean?
We are outnumbered. Call for black up.

Select only one answer.
A) When you are outnumbered in a fight and call black people for the win
B) An affirmative agreement
C) Something that is better then everything else
D) A strong, leader who commands those around them

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:50.108925+00:00
22,1,row_021,Brain Rot,General,claude,A,,A,True,False,"In the following sentence, what does ""Brain Rot"" mean?
Kids these days just sit around and watch brain rot.

Select only one answer.
A) The videos one find on social media that cause people to scroll and do nothign for hours
B) A mauser C96 pistol
C) A nicotine pouch held between the upper lip and gums
D) A dance move

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:52.142141+00:00
23,1,row_022,brizzy,Drugs,claude,A,,A,True,False,"In the following sentence, what does ""brizzy"" mean?
Quickly, grab the brizzy.

Select only one answer.
A) A kilo of cocaine
B) Poorly dressed
C) Something suspicious
D) Throwing something

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:54.001906+00:00
24,1,row_023,broomhandle,Violence,claude,B,,B,True,False,"In the following sentence, what does ""broomhandle"" mean?
Get your broomhandle, we gotta go.

Select only one answer.
A) Nonsensical term
B) A mauser C96 pistol
C) Saying something secretive or to keep low profile
D) An all denim outfit

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:02:55.816085+00:00
25,1,row_024,bruh!,General,claude,A,D,A,True,False,"In the following sentence, what does ""bruh!"" mean?
Bruh! What was that?

Select only one answer.
A) Used to address friends with exasperation, releif, or disbeleif.
B) A reaction to something uncomfortable
C) Delusional
D) brother

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:57.206704+00:00
26,1,row_025,Bruzz,General,claude,A,,A,True,False,"In the following sentence, what does ""Bruzz"" mean?
Whats up bruzz?

Select only one answer.
A) A term for friends
B) Fuckboy, someone just looking for sex
C) Get to the point
D) Something done regularly

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:02:58.452473+00:00
27,1,row_026,Bussin',General,claude,A,,A,True,False,"In the following sentence, what does ""Bussin'"" mean?
This pizza is bussin, on god!

Select only one answer.
A) Very good
B) A provocative dance
C) A term used to say that someone is online too much and needs to get back to real life
D) Somehting that is poor quality

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:00.256150+00:00
28,1,row_027,Cake,Sexual,claude,B,A,B,True,False,"In the following sentence, what does ""Cake"" mean?
Shes looking real caked up!

Select only one answer.
A) a breadlike food made from a dough or batter that is usually fried or baked in small flat shapes and is often unleavened
B) A reference for ass
C) A cigarette
D) sweet talk

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:03:01.588689+00:00
29,1,row_028,Cap,General,claude,C,A,C,True,False,"In the following sentence, what does ""Cap"" mean?
You're cappin. No way.

Select only one answer.
A) a head covering especially with a visor and no brim
B) Weak or effeminate
C) Something untrue or unbeleivable
D) An affirmative agreement

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:03:02.999041+00:00
30,1,row_029,Chad,Identity,claude,D,C,D,True,False,"In the following sentence, what does ""Chad"" mean?
That was a total chad move.

Select only one answer.
A) To make a jawline more defined
B) One True Pairing
C) small pieces of paper or cardboard produced in punching paper tape or data cards; also : a piece of chad.
D) A stereotypical alpha male that is strong, handsome, and attracts women.

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:03:04.365679+00:00
31,1,row_030,Chaddam,Identity,claude,A,,A,True,False,"In the following sentence, what does ""Chaddam"" mean?
Did you see the chaddam at the restraunt earlier?

Select only one answer.
A) An incel term for an attractive middle eastern man
B) Crack cocaine
C) an expression of surprise
D) To make a jawline more defined

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:06.157336+00:00
32,1,row_031,Chang,Drugs,claude,A,,A,True,False,"In the following sentence, what does ""Chang"" mean?
Hey , you got a hookup for chang?

Select only one answer.
A) cocaine
B) A strong, leader who commands those around them
C) sex
D) Crack cocaine

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:07.636424+00:00
33,1,row_032,Chat,General,claude,A,B,A,True,False,"In the following sentence, what does ""Chat"" mean?
Chat, how does this look?

Select only one answer.
A) To refer to ones imaginary audience like an internet steamer
B) chatter, prattle
C) Someone who deliberatly acts in ways to annoy or anger a group of people online.
D) Weak or effeminate

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:09.109853+00:00
34,1,row_033,Cheeks,General,claude,A,C,A,True,False,"In the following sentence, what does ""Cheeks"" mean?
That movie was cheeks.

Select only one answer.
A) Somehting that is poor quality
B) The anus
C) the fleshy side of the face below the eye and above and to the side of the mouth
D) The abandonment of responsibilities

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:10.539305+00:00
35,1,row_034,chenta,Insult,claude,A,,A,True,False,"In the following sentence, what does ""chenta"" mean?
You are looking really chenta.

Select only one answer.
A) Something ugly or unattractive
B) A hot dog
C) to recoil in distaste
D) An attractive older man

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:12.347653+00:00
36,1,row_035,cheugy,Insult,claude,B,,B,True,False,"In the following sentence, what does ""cheugy"" mean?
That girl had such a cheugy outfit.

Select only one answer.
A) Someone acting aggressively and out of control
B) Somehting uncool or unfashionable
C) A mauser C96 pistol
D) A person who is very good at spotting a lie

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:03:13.645432+00:00
37,1,row_036,chi-mo,Identity,claude,B,,B,True,False,"In the following sentence, what does ""chi-mo"" mean?
Go fuck that chi-mo up.

Select only one answer.
A) An insult saying that the problem is due to lack of skill rather then luck
B) A chlid molestor
C) Something that is reallly good.
D) A reaction to something uncomfortable

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:03:15.010906+00:00
38,1,row_037,Chungus,General,claude,B,,B,True,False,"In the following sentence, what does ""Chungus"" mean?
Thats a very chungus pizza.

Select only one answer.
A) To stab or shoot
B) Something that is adorably and chunky
C) Someone that travels abroad with the sole purpose of having sex
D) Stylish or flashy outfit style

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:03:16.529965+00:00
39,1,row_038,Clocked,Violence,claude,A,D,A,True,False,"In the following sentence, what does ""Clocked"" mean?
He totally clocked that guy.

Select only one answer.
A) When something hidden gets called out
B) A cigarette
C) A knife
D) to time with a stopwatch or by an electric timing device

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:17.858599+00:00
40,1,row_039,Cooked,General,claude,D,C,D,True,False,"In the following sentence, what does ""Cooked"" mean?
You're cooked

Select only one answer.
A) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs
B) sex
C) past tense and past participle of cook
D) Done or ruined

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:03:20.629415+00:00
41,1,row_040,coota suit,Identity,claude,D,,C,False,False,"In the following sentence, what does ""coota suit"" mean?
Im gonna hit the town in my coota suit.

Select only one answer.
A) The anus
B) Someone who deliberatly acts in ways to annoy or anger a group of people online.
C) A distinct trait, style, or outfit, often used in drag culture
D) An all denim outfit

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:03:22.581575+00:00
42,1,row_041,Crashout,General,claude,C,A,C,True,False,"In the following sentence, what does ""Crashout"" mean?
Jen had a total crashout after her breakup

Select only one answer.
A) a vehicular crash
B) Very good
C) An emotional meltdown
D) Someone unappealing

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:03:24.001789+00:00
43,1,row_042,Cringe,General,claude,D,,D,True,False,"In the following sentence, what does ""Cringe"" mean?
Did you hear that pickup line? It was totally cringe!

Select only one answer.
A) Fuckboy, someone just looking for sex
B) The anus
C) A criminal that turned their life arpound and are legitimate
D) to recoil in distaste

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:03:25.612909+00:00
44,1,row_043,crower,Insult,claude,C,,C,True,False,"In the following sentence, what does ""crower"" mean?
Stop sitting around and being a crower

Select only one answer.
A) drunk
B) Short for Bitch
C) Someone who sitts around commenting about others
D) Crack cocaine

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:03:26.920432+00:00
45,1,row_044,cuck,Insult,claude,C,A,A,False,True,"In the following sentence, what does ""cuck"" mean?
That guy must be a cuck letting his wife talk to others like that.

Select only one answer.
A) a man whose wife is unfaithful : cuckold
B) An incel term meaning kissless, hugless, handholdless virgin
C) A term for someone that enjoys watching their wife have sex with another man
D) To be honest about something

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T20:03:28.329771+00:00
46,1,row_045,d-low,General,claude,B,,B,True,False,"In the following sentence, what does ""d-low"" mean?
Keep it on the d-low, okay?

Select only one answer.
A) Sociopath
B) To keep secretive or obscure
C) To express disappointment dramatically
D) A reference for ass

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:03:30.297212+00:00
47,1,row_046,daggers,General,claude,C,A,C,True,False,"In the following sentence, what does ""daggers"" mean?
Lets hit the dance floor and do the start daggering.

Select only one answer.
A) a sharp pointed knife for stabbing
B) Cancer
C) A provocative dance
D) Friends with benefits

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:03:32.032087+00:00
48,1,row_047,Ded,General,claude,B,,B,True,False,"In the following sentence, what does ""Ded"" mean?
I'm ded

Select only one answer.
A) Delusional
B) To metaphorically die of laughter
C) A sexual relationship developed from situations without clear future intentions
D) Someone who deliberatly acts in ways to annoy or anger a group of people online.

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T20:03:33.297807+00:00
49,1,row_048,Delulu,General,claude,D,,D,True,False,"In the following sentence, what does ""Delulu"" mean?
I'm feeling delulu after that show.

Select only one answer.
A) A term for baby that people will call their significant other.
B) Someone who sitts around commenting about others
C) To manipulated, trick, or fool someone
D) Delusional

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T20:03:34.622528+00:00
50,1,row_049,Dog water,Insult,claude,C,,C,True,False,"In the following sentence, what does ""Dog water"" mean?
You are playing like dog water.

Select only one answer.
A) intensely and openely say something true
B) Short for Bitch
C) Something low quality or bad
D) A fool or a prick

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T20:03:36.752260+00:00
