model,n_responses,n_committed,Correct%,Incorrect%,Error%,Refused%,Literal_rate%,n_terms,Flip%
chatgpt,1000,1000,94.1,5.9,0.0,0.0,11.1,200,4.5
claude,1000,990,92.2,7.8,0.6,0.4,12.9,200,4.5
gemini,1000,1000,94.8,5.2,0.0,0.0,9.2,200,5.5
grok,1000,1000,93.0,7.0,0.0,0.0,13.3,200,2.5
local_gptoss,1000,1000,82.9,17.1,0.0,0.0,23.9,200,20.0
local_llama31,1000,913,75.4,24.6,0.3,8.4,37.1,200,27.0
local_llama4,1000,974,86.7,13.3,2.1,0.5,12.6,200,1.5
local_phi4,1000,999,79.7,20.3,0.1,0.0,18.7,200,19.0
local_qwen27b,1000,1000,90.8,9.2,0.0,0.0,10.6,200,12.5
local_qwen7b,1000,1000,71.3,28.7,0.0,0.0,29.2,200,4.5
