run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,local_gptoss,B,,B,True,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) The greatest of all time
B) Methodone
C) A sexual relationship developed from situations without clear future intentions
D) To prepare for a fight

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T01:09:25.655438+00:00
2,1,row_001,6-6-6,Identity,local_gptoss,D,,D,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) Someone that travels abroad with the sole purpose of having sex
B) A type of marijuana
C) I just burst out laughing
D) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T01:09:26.708004+00:00
3,1,row_002,AF,General,local_gptoss,B,,B,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) Someone who refused to wear a mask in covid times.
B) As Fuck
C) To make lifestyle changes to make your life more holistic
D) An all denim outfit

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T01:09:28.074653+00:00
4,1,row_003,aggy,Violence,local_gptoss,B,,B,True,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) A significant problem
B) to aggrivate
C) Someone who sitts around commenting about others
D) A man that takes care of children

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T01:09:33.441369+00:00
5,1,row_004,Alpha,Identity,local_gptoss,D,A,D,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) the 1st letter of the Greek alphabet
B) Something that is reallly good.
C) The anus
D) A strong, leader who commands those around them

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T01:09:35.022418+00:00
6,1,row_005,ant,Sexual,local_gptoss,D,A,C,False,False,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties
B) Done or ruined
C) A dance move
D) A charismatic, sexy, and quick witted man

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T01:09:38.433585+00:00
7,1,row_006,archer,Identity,local_gptoss,C,A,A,False,True,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) a person who uses a bow and arrow
B) Fuckboy, someone just looking for sex
C) A person who is very good at spotting a lie
D) Someone unappealing

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T01:09:41.704164+00:00
8,1,row_007,ASL,Sexual,local_gptoss,B,,B,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) Someone who is very stubborn
B) Age Sex Location
C) To confim that something was completed to expectation
D) Somehting that is poor quality

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T01:09:43.130694+00:00
9,1,row_008,Aura Farming,Identity,local_gptoss,A,,B,False,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) Activities that involve cultivating ones Aura
B) To refer to ones imaginary audience like an internet steamer
C) Someone that tries really hard to impress their crush
D) To knock someone out

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T01:09:47.481261+00:00
10,1,row_009,babygirl,Sexual,local_gptoss,D,,D,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) Money
B) A mauser C96 pistol
C) when a reply gets more than the original post
D) An endeering term used towards ones significant other

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T01:09:48.412630+00:00
