run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,gemini,A,,A,True,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) Methodone
B) Prolonged masturbation
C) To mastrubate for extremeely long period regularly
D) A term to discuss sexual experiences

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T17:05:06.602793+00:00
2,1,row_001,6-6-6,Identity,gemini,A,,A,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs
B) Describes activities or situations that are sexually aggressive
C) Something that is messed up or not right.
D) Something that is better then everything else

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T17:05:09.792190+00:00
3,1,row_002,AF,General,gemini,B,,B,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) bullets
B) As Fuck
C) Fuckboy, someone just looking for sex
D) To be skeptical about something

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T17:05:12.194592+00:00
4,1,row_003,aggy,Violence,gemini,D,,D,True,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) fake soft penises and testicles designed to give a 'male' bulge to the crotches of female-to-male transsexuals.
B) A fashionable look
C) A cigarette
D) to aggrivate

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T17:05:15.659726+00:00
5,1,row_004,Alpha,Identity,gemini,B,D,B,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) when a reply gets more than the original post
B) A strong, leader who commands those around them
C) An emotional meltdown
D) the 1st letter of the Greek alphabet

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T17:05:18.412544+00:00
6,1,row_005,ant,Sexual,gemini,A,C,A,True,False,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) A charismatic, sexy, and quick witted man
B) A term used to say that someone is online too much and needs to get back to real life
C) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties
D) A chlid molestor

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T17:05:25.372660+00:00
7,1,row_006,archer,Identity,gemini,A,D,D,False,True,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) A person who is very good at spotting a lie
B) A descriptor for an attractive person
C) To show off
D) a person who uses a bow and arrow

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T17:05:31.331917+00:00
8,1,row_007,ASL,Sexual,gemini,C,,C,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) An unpopular opinion
B) An older person who is out of touch
C) Age Sex Location
D) fake soft penises and testicles designed to give a 'male' bulge to the crotches of female-to-male transsexuals.

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T17:05:33.925952+00:00
9,1,row_008,Aura Farming,Identity,gemini,C,,C,True,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) Friends with benefits
B) An attractive older man
C) Activities that involve cultivating ones Aura
D) intensely and openely say something true

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T17:05:37.609592+00:00
10,1,row_009,babygirl,Sexual,gemini,B,,B,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) An expression of disbelief
B) An endeering term used towards ones significant other
C) bullets
D) A canister of nitrous oxide

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T17:05:40.049858+00:00
11,1,row_010,backoff,Sexual,gemini,B,C,B,True,False,"In the following sentence, what does ""backoff"" mean?
That girl has a fat backoff!

Select only one answer.
A) To metaphorically die of laughter
B) A large ass that stands out.
C) back down
D) to recoil in distaste

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T17:05:43.323888+00:00
12,1,row_011,Bae,Sexual,gemini,C,,C,True,False,"In the following sentence, what does ""Bae"" mean?
She's my bae.

Select only one answer.
A) Get to the point
B) To make a jawline more defined
C) A significant other
D) You're on Your own

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T17:05:45.992075+00:00
13,1,row_012,bareface,Identity,gemini,C,B,C,True,False,"In the following sentence, what does ""bareface"" mean?
I saw a group of barefaces at the store this morning, so I won't be going back.

Select only one answer.
A) Something that is messed up or not right.
B) having a clear finish and no nap
C) Someone who refused to wear a mask in covid times.
D) Poorly dressed

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T17:05:49.974401+00:00
14,1,row_013,based,General,gemini,D,C,A,False,False,"In the following sentence, what does ""based"" mean?
That show was based.

Select only one answer.
A) An independent, strong person
B) To do somethign very well
C) having a specified type of base or basis —often used in combination
D) An unpopular opinion

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T17:05:57.365750+00:00
15,1,row_014,Basic,Identity,gemini,C,A,C,True,False,"In the following sentence, what does ""Basic"" mean?
Shes so basic.

Select only one answer.
A) of, relating to, or forming the base or essence : fundamental
B) Someone that is too much of a fan of something
C) Someone that is boring
D) To mastrubate for extremeely long period regularly

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-12T17:06:00.468688+00:00
16,1,row_015,bb,Sexual,gemini,A,B,A,True,False,"In the following sentence, what does ""bb"" mean?
Hey bb, lets grab some food.

Select only one answer.
A) A term for baby that people will call their significant other.
B) a shot pellet 0.18 inch in diameter for use in a shotgun cartridge
C) Used to address friends with exasperation, releif, or disbeleif.
D) Something ugly or unattractive

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T17:06:03.382044+00:00
