run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,local_qwen27b,A,,A,True,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) Methodone
B) Something low quality or bad
C) To prepare for a fight
D) A term for friends

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T02:05:30.763904+00:00
2,1,row_001,6-6-6,Identity,local_qwen27b,B,,B,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) An endeering term used towards ones significant other
B) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs
C) a significant other
D) Done or ruined

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T02:05:59.998952+00:00
3,1,row_002,AF,General,local_qwen27b,D,,D,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) Someone who deliberatly acts in ways to annoy or anger a group of people online.
B) One True Pairing
C) Money
D) As Fuck

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T02:06:12.072691+00:00
4,1,row_003,aggy,Violence,local_qwen27b,B,,B,True,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) Someone who acts tries to act entertaining and amuzingly relentlessly
B) to aggrivate
C) A fool or a prick
D) used to mock spoiled kids

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T02:06:47.378304+00:00
5,1,row_004,Alpha,Identity,local_qwen27b,B,C,B,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) Throwing something
B) A strong, leader who commands those around them
C) the 1st letter of the Greek alphabet
D) To keep secretive or obscure

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T02:07:13.761722+00:00
6,1,row_005,ant,Sexual,local_qwen27b,D,A,D,True,False,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties
B) Down to fuck
C) A man that is feminine in nature
D) A charismatic, sexy, and quick witted man

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T02:08:18.088587+00:00
7,1,row_006,archer,Identity,local_qwen27b,A,D,A,True,False,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) A person who is very good at spotting a lie
B) To mastrubate for extremeely long period regularly
C) A type of marijuana
D) a person who uses a bow and arrow

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-12T02:08:49.635266+00:00
8,1,row_007,ASL,Sexual,local_qwen27b,B,,B,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) To confim that something was completed to expectation
B) Age Sex Location
C) Someone who sitts around commenting about others
D) Used to refer to the social media platforms one uses

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T02:09:08.962817+00:00
9,1,row_008,Aura Farming,Identity,local_qwen27b,D,,D,True,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) Methodone
B) sex
C) To check the mood of a situation
D) Activities that involve cultivating ones Aura

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-12T02:09:32.661771+00:00
10,1,row_009,babygirl,Sexual,local_qwen27b,B,,B,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) a bad charisma
B) An endeering term used towards ones significant other
C) Something really good
D) A kilo of cocaine

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-12T02:09:50.284699+00:00
