run_id,iteration,prompt_id,slang_term,term_type,model,correct_letter,literal_letter,model_answer,is_correct,chose_literal,full_prompt,raw_response,timestamp_utc
1,1,row_000,'done,Drugs,local_llama4,A,,D,False,False,"In the following sentence, what does ""'done"" mean?
Do you have any of the 'done on you?

Select only one answer.
A) Methodone
B) Throwing something
C) I just burst out laughing
D) Irritated, bitter, or resentful

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-15T21:25:05.627330+00:00
2,1,row_001,6-6-6,Identity,local_llama4,B,,B,True,False,"In the following sentence, what does ""6-6-6"" mean?
I only date a man who is a 6-6-6.

Select only one answer.
A) An all denim outfit
B) A rule used by some for dating that refers to someone who is six feet tall, has a 6 figure income, and has six-pack abs
C) A term for bringing someone over to watch some netflix and then have sex.
D) To mastrubate for extremeely long period regularly

Respond with only the letter of your answer (A, B, C, or D).",B,2026-06-15T21:25:06.506316+00:00
3,1,row_002,AF,General,local_llama4,A,,A,True,False,"In the following sentence, what does ""AF"" mean?
Thats cool AF!

Select only one answer.
A) As Fuck
B) An expression of disappointment
C) A knife
D) Someone acting aggressively and out of control

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-15T21:25:07.298541+00:00
4,1,row_003,aggy,Violence,local_llama4,D,,D,True,False,"In the following sentence, what does ""aggy"" mean?
Why you so aggy?

Select only one answer.
A) A sexual relationship developed from situations without clear future intentions
B) Throwing something
C) A nicotine pouch held between the upper lip and gums
D) to aggrivate

Respond with only the letter of your answer (A, B, C, or D).",D.,2026-06-15T21:25:08.131220+00:00
5,1,row_004,Alpha,Identity,local_llama4,D,B,D,True,False,"In the following sentence, what does ""Alpha"" mean?
What an alpha chad.

Select only one answer.
A) As Fuck
B) the 1st letter of the Greek alphabet
C) The anus
D) A strong, leader who commands those around them

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-15T21:25:08.901079+00:00
6,1,row_005,ant,Sexual,local_llama4,D,C,C,False,True,"In the following sentence, what does ""ant"" mean?
I came across a real ant at the club earlier.

Select only one answer.
A) An expression of disbelief
B) A loss or failure
C) any of a family (Formicidae) of colonial hymenopterous insects with a complex social organization and various castes performing special duties
D) A charismatic, sexy, and quick witted man

Respond with only the letter of your answer (A, B, C, or D).",C,2026-06-15T21:25:09.748076+00:00
7,1,row_006,archer,Identity,local_llama4,B,D,B,True,False,"In the following sentence, what does ""archer"" mean?
Jim was an archer with her lies.

Select only one answer.
A) Someone that is boring
B) A person who is very good at spotting a lie
C) A charismatic, sexy, and quick witted man
D) a person who uses a bow and arrow

Respond with only the letter of your answer (A, B, C, or D).",B.,2026-06-15T21:25:10.603495+00:00
8,1,row_007,ASL,Sexual,local_llama4,D,,D,True,False,"In the following sentence, what does ""ASL"" mean?
What's your ASL?

Select only one answer.
A) A term for someone that enjoys watching their wife have sex with another man
B) Someone who acts tries to act entertaining and amuzingly relentlessly
C) An emotional meltdown
D) Age Sex Location

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-15T21:25:11.430993+00:00
9,1,row_008,Aura Farming,Identity,local_llama4,D,,D,True,False,"In the following sentence, what does ""Aura Farming"" mean?
That skateboard group is trying really hard to aura farm, but its not working.

Select only one answer.
A) A kilo of cocaine
B) Someone who sitts around commenting about others
C) Poorly dressed
D) Activities that involve cultivating ones Aura

Respond with only the letter of your answer (A, B, C, or D).",D,2026-06-15T21:25:12.260056+00:00
10,1,row_009,babygirl,Sexual,local_llama4,A,,A,True,False,"In the following sentence, what does ""babygirl"" mean?
Hey babygirl, whanna metup tonight?

Select only one answer.
A) An endeering term used towards ones significant other
B) An expression of disbelief
C) Charisma
D) A term for bringing someone over to watch some netflix and then have sex.

Respond with only the letter of your answer (A, B, C, or D).",A,2026-06-15T21:25:13.086020+00:00
